frame	acquisition	preprocessing	tracking	integration	raycasting	rendering	computation	total    	X          	Y          	Z         	tracked   	integrated	startTS	endTS
0	0.053231	0.071586	0.042585	0.491314	0.000000	0.000000	0.605484	0.658715	0.000000	0.000000	0.000000	0        	1	18612.994340	18613.653055	
1	0.060010	0.077743	0.060524	0.443448	0.000000	0.000000	0.581715	0.641726	0.000000	0.000000	0.000000	0        	1	18613.653081	18614.294807	
2	0.052725	0.080355	0.058178	0.473384	0.000000	0.000000	0.611916	0.664641	0.000000	0.000000	0.000000	0        	1	18614.294835	18614.959477	
3	0.053342	0.069264	0.052086	0.446214	0.009168	0.000000	0.576732	0.630074	0.000000	0.000000	0.000000	0        	1	18614.959506	18615.589580	
4	0.054297	0.074197	0.223801	0.445076	0.011607	0.000000	0.754680	0.808977	0.000000	0.000000	0.000000	1        	1	18615.589689	18616.398666	
5	0.055016	0.070010	0.231749	0.442956	0.009107	0.000000	0.753822	0.808838	-0.005330	0.001649	0.000959	1        	1	18616.398709	18617.207548	
6	0.054895	0.078612	0.211732	0.448289	0.009057	0.000000	0.747690	0.802585	-0.004659	0.001127	0.000158	1        	1	18617.207600	18618.010185	
7	0.055328	0.077949	0.176727	0.449187	0.009238	0.000000	0.713101	0.768428	-0.004865	0.000754	0.000474	1        	1	18618.010218	18618.778646	
8	0.054607	0.069173	0.211053	0.445751	0.009246	0.000000	0.735223	0.789830	-0.006466	0.000906	0.000411	1        	1	18618.778681	18619.568511	
9	0.054406	0.069831	0.226514	0.444902	0.009535	0.000000	0.750782	0.805188	-0.008439	0.000132	0.000477	1        	1	18619.568546	18620.373734	
10	0.054916	0.077949	0.222286	0.440878	0.009402	0.000000	0.750515	0.805431	-0.008461	0.001207	0.001054	1        	1	18620.373820	18621.179251	
11	0.054747	0.079217	0.232943	0.447237	0.009192	0.000000	0.768589	0.823336	-0.009395	0.000332	0.001752	1        	1	18621.179302	18622.002638	
12	0.055131	0.078286	0.266405	0.446939	0.009425	0.000000	0.801054	0.856185	-0.009359	0.000092	0.000950	1        	1	18622.002673	18622.858858	
13	0.054965	0.077986	0.202031	0.441856	0.009466	0.000000	0.731339	0.786304	-0.011990	-0.000241	0.001529	1        	1	18622.858887	18623.645191	
14	0.055026	0.084160	0.209692	0.450178	0.009419	0.000000	0.753448	0.808474	-0.011968	0.000704	0.000982	1        	1	18623.645232	18624.453706	
