initVolumeKernel	16777216	38027.861402	38028.045918
mm2metersKernel	76800	38028.078020	38028.082880
bilateralFilterKernel	76800	38028.082883	38028.083752
trackAndreduceKernel	4800	38028.125410	38028.133638
updatePoseKernel	1	38028.133642	38028.133644
trackAndreduceKernel	19200	38028.133645	38028.140770
updatePoseKernel	1	38028.140771	38028.140772
trackAndreduceKernel	76800	38028.140773	38028.258323
updatePoseKernel	1	38028.258326	38028.258327
integrateKernel	65536	38028.258329	38028.415973
mm2metersKernel	76800	38028.463781	38028.464639
bilateralFilterKernel	76800	38028.464641	38028.473502
trackAndreduceKernel	4800	38028.513904	38028.522712
updatePoseKernel	1	38028.522715	38028.522717
trackAndreduceKernel	19200	38028.522718	38028.529771
updatePoseKernel	1	38028.529776	38028.529778
trackAndreduceKernel	76800	38028.529781	38028.647491
updatePoseKernel	1	38028.647494	38028.647495
integrateKernel	65536	38028.647496	38028.805005
mm2metersKernel	76800	38028.848844	38028.848956
bilateralFilterKernel	76800	38028.848960	38028.857380
trackAndreduceKernel	4800	38028.897322	38028.911881
updatePoseKernel	1	38028.911885	38028.911887
trackAndreduceKernel	19200	38028.911888	38028.919556
updatePoseKernel	1	38028.919559	38028.919560
trackAndreduceKernel	76800	38028.919561	38029.037211
updatePoseKernel	1	38029.037214	38029.037216
integrateKernel	65536	38029.037218	38029.194992
mm2metersKernel	76800	38029.242874	38029.242974
bilateralFilterKernel	76800	38029.242977	38029.249550
trackAndreduceKernel	4800	38029.290139	38029.298555
updatePoseKernel	1	38029.298560	38029.298562
trackAndreduceKernel	19200	38029.298563	38029.305756
updatePoseKernel	1	38029.305758	38029.305760
trackAndreduceKernel	76800	38029.305761	38029.423449
updatePoseKernel	1	38029.423453	38029.423455
integrateKernel	65536	38029.423456	38029.581285
raycastKernel	76800	38029.581294	38029.592526
mm2metersKernel	76800	38029.636384	38029.636495
bilateralFilterKernel	76800	38029.636498	38029.637391
trackAndreduceKernel	4800	38029.678334	38029.692359
updatePoseKernel	1	38029.692365	38029.692376
trackAndreduceKernel	4800	38029.692377	38029.701136
updatePoseKernel	1	38029.701139	38029.701144
trackAndreduceKernel	4800	38029.701144	38029.709822
updatePoseKernel	1	38029.709824	38029.709827
trackAndreduceKernel	4800	38029.709828	38029.718533
updatePoseKernel	1	38029.718535	38029.718539
trackAndreduceKernel	19200	38029.718540	38029.725726
updatePoseKernel	1	38029.725728	38029.725733
trackAndreduceKernel	19200	38029.725734	38029.732997
updatePoseKernel	1	38029.733000	38029.733005
trackAndreduceKernel	19200	38029.733006	38029.740277
updatePoseKernel	1	38029.740282	38029.740286
trackAndreduceKernel	19200	38029.740287	38029.747574
updatePoseKernel	1	38029.747578	38029.747583
trackAndreduceKernel	19200	38029.747584	38029.754879
updatePoseKernel	1	38029.754883	38029.754884
trackAndreduceKernel	76800	38029.754885	38029.877053
updatePoseKernel	1	38029.877057	38029.877062
trackAndreduceKernel	76800	38029.877063	38030.006762
updatePoseKernel	1	38030.006766	38030.006770
trackAndreduceKernel	76800	38030.006771	38030.134679
updatePoseKernel	1	38030.134683	38030.134687
integrateKernel	65536	38030.134690	38030.292256
raycastKernel	76800	38030.292264	38030.303084
mm2metersKernel	76800	38030.346530	38030.346628
bilateralFilterKernel	76800	38030.346631	38030.347568
trackAndreduceKernel	4800	38030.389128	38030.400424
updatePoseKernel	1	38030.400428	38030.400433
trackAndreduceKernel	4800	38030.400434	38030.409175
updatePoseKernel	1	38030.409177	38030.409181
trackAndreduceKernel	4800	38030.409182	38030.417910
updatePoseKernel	1	38030.417913	38030.417917
trackAndreduceKernel	4800	38030.417918	38030.426592
updatePoseKernel	1	38030.426595	38030.426598
trackAndreduceKernel	19200	38030.426600	38030.433733
updatePoseKernel	1	38030.433735	38030.433739
trackAndreduceKernel	19200	38030.433739	38030.440846
updatePoseKernel	1	38030.440848	38030.440852
trackAndreduceKernel	19200	38030.440853	38030.448023
updatePoseKernel	1	38030.448026	38030.448031
trackAndreduceKernel	19200	38030.448032	38030.455171
updatePoseKernel	1	38030.455174	38030.455178
trackAndreduceKernel	19200	38030.455202	38030.462415
updatePoseKernel	1	38030.462418	38030.462423
trackAndreduceKernel	76800	38030.462424	38030.587415
updatePoseKernel	1	38030.587419	38030.587424
trackAndreduceKernel	76800	38030.587425	38030.714638
updatePoseKernel	1	38030.714642	38030.714647
trackAndreduceKernel	76800	38030.714648	38030.842685
updatePoseKernel	1	38030.842688	38030.842693
integrateKernel	65536	38030.842695	38031.000186
raycastKernel	76800	38031.000193	38031.011007
mm2metersKernel	76800	38031.054891	38031.054999
bilateralFilterKernel	76800	38031.055002	38031.055928
trackAndreduceKernel	4800	38031.096798	38031.105731
updatePoseKernel	1	38031.105736	38031.105742
trackAndreduceKernel	4800	38031.105743	38031.114632
updatePoseKernel	1	38031.114635	38031.114640
trackAndreduceKernel	4800	38031.114641	38031.123495
updatePoseKernel	1	38031.123499	38031.123504
trackAndreduceKernel	4800	38031.123505	38031.132314
updatePoseKernel	1	38031.132317	38031.132321
trackAndreduceKernel	19200	38031.132323	38031.139597
updatePoseKernel	1	38031.139601	38031.139606
trackAndreduceKernel	19200	38031.139607	38031.146742
updatePoseKernel	1	38031.146744	38031.146748
trackAndreduceKernel	19200	38031.146748	38031.153991
updatePoseKernel	1	38031.153994	38031.153999
trackAndreduceKernel	19200	38031.154000	38031.161184
updatePoseKernel	1	38031.161186	38031.161191
trackAndreduceKernel	19200	38031.161192	38031.168425
updatePoseKernel	1	38031.168429	38031.168433
trackAndreduceKernel	76800	38031.168435	38031.291948
updatePoseKernel	1	38031.291951	38031.291956
trackAndreduceKernel	76800	38031.291957	38031.418607
updatePoseKernel	1	38031.418610	38031.418615
trackAndreduceKernel	76800	38031.418616	38031.546682
updatePoseKernel	1	38031.546685	38031.546690
trackAndreduceKernel	76800	38031.546691	38031.678526
updatePoseKernel	1	38031.678530	38031.678535
integrateKernel	65536	38031.678537	38031.835861
raycastKernel	76800	38031.835868	38031.846767
mm2metersKernel	76800	38031.890487	38031.890598
bilateralFilterKernel	76800	38031.890600	38031.891541
trackAndreduceKernel	4800	38031.931458	38031.940217
updatePoseKernel	1	38031.940222	38031.940227
trackAndreduceKernel	4800	38031.940228	38031.948971
updatePoseKernel	1	38031.948973	38031.948976
